site	inveg	pft1	pft2	pft3	pft4	pft5	pft6	pft7	pft8	pft9	pft10	pft11	pft12	laiupr
CBS	8	0	0	0	0	1	0	0	0	0	0	0	1	0.7
QYZ	4	0	0	0	1	0	0	0	0	0	0	0	1	0.7
XSBN	1	1	0	0	0	0	0	0	0	0	0	0	1	0.7
CN-Anh	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Bed	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Cha	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Du2	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-HaM	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Hny	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Ku1	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Ku2	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Xfs	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Xi1	10	0	0	0	0	0	0	0	0	0	0	0	1	0
CN-Xi2	10	0	0	0	0	0	0	0	0	0	0	0	1	0
DuolunA	10	0	0	0	0	0	0	0	0	0	0	0	1	0
DuolunB	10	0	0	0	0	0	0	0	0	0	0	0	1	0
SiziwangA	10	0	0	0	0	0	0	0	0	0	0	0	1	0
SiziwangB	10	0	0	0	0	0	0	0	0	0	0	0	1	0
arou	10	0	0	0	0	0	0	0	0	0	0	0	1	0
changwu	10	0	0	0	0	0	0	0	0	0	0	0	1	0
dayekou	10	0	0	0	0	0	0	0	0	0	0	0	1	0
dongsu	10	0	0	0	0	0	0	0	0	0	0	0	1	0
guantao	10	0	0	0	0	0	0	0	0	0	0	0	1	0
jinzhou	10	0	0	0	0	0	0	0	0	0	0	0	1	0
linze	10	0	0	0	0	0	0	0	0	0	0	0	1	0
naiman	10	0	0	0	0	0	0	0	0	0	0	0	1	0
qingyang	10	0	0	0	0	0	0	0	0	0	0	0	1	0
tycropland	10	0	0	0	0	0	0	0	0	0	0	0	1	0
typrairie	10	0	0	0	0	0	0	0	0	0	0	0	1	0
yingke	10	0	0	0	0	0	0	0	0	0	0	0	1	0
yuzhong	10	0	0	0	0	0	0	0	0	0	0	0	1	0
zhangye	10	0	0	0	0	0	0	0	0	0	0	0	1	0
