site																									lat   long    sand   clay
CBS                                                  42.40  128.09   24.65   31.70
QYZ                                                  26.74  115.05   61.94   14.42
XSBN                                                 21.96  101.20   33.36   13.91
CN-Anh                                               33.00  117.00    4.97   36.94
CN-Bed                                               39.53  116.25   51.18    7.50
CN-Cha                                               42.40  128.10   24.65   31.70
CN-Du2                                               42.05  116.28   82.30    4.20
CN-HaM                                               37.37  101.18   54.25    4.99
CN-Hny                                               29.31  112.51   25.12   20.92
CN-Ku1                                               40.54  108.69   19.15   21.19
CN-Ku2                                               40.38  108.55   49.33    2.07
CN-Xfs                                               44.13  118.25   47.81   12.74
CN-Xi1                                               41.25  117.26   28.43    5.43
CN-Xi2                                               40.36  118.21   28.92   24.73
DuolunA                                              42.04  116.29   82.30    4.20
DuolunB                                              42.05  116.28   34.25   20.80
SiziwangA                                            41.23  111.57   39.75   21.25
SiziwangB                                            41.28  111.68   39.75   21.25
arou                                                 38.00  100.50   16.58   24.68
changwu                                              35.20  107.67   16.83   19.24
dayekou                                              38.53  100.25   24.14   14.48
dongsu                                               44.09  113.57   33.17   11.95
guantao                                              36.52  105.13   19.51   21.82
jinzhou                                              41.18  121.21   27.50   12.00
linze                                                39.35  100.13   83.05    1.67
naiman                                               42.93  120.70   90.92    3.08
qingyang                                             36.03  107.88   21.30   18.42
tycropland                                           44.57  122.88   90.92    3.08
typrairie                                            44.57  122.88   90.92    3.08
yingke                                               38.86  100.41   27.19   10.92
yuzhong                                              35.95  104.13   24.70   11.20
zhangye                                              39.09  100.30   30.60   14.32
